Model Year,Make,Model,Electric Vehicle Type,CAFV,Electric Range,Electric Utility
2019,JAGUAR,I-PACE,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.688821752,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
2022,KIA,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,0.078549849,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY
2020,JAGUAR,I-PACE,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.688821752,BONNEVILLE POWER ADMINISTRATION||ORCAS POWER & LIGHT COOP
2019,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.797583082,BONNEVILLE POWER ADMINISTRATION||CITY OF TACOMA - (WA)||PENINSULA LIGHT COMPANY
2021,LINCOLN,AVIATOR,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.045317221,PUGET SOUND ENERGY INC||PUD NO 1 OF WHATCOM COUNTY
2017,BMW,I8,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,0.024169184,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
2020,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.63141994,PUGET SOUND ENERGY INC
2015,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.232628399,PUD NO 1 OF CHELAN COUNTY
2019,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.700906344,PUGET SOUND ENERGY INC
2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.235649547,BONNEVILLE POWER ADMINISTRATION||AVISTA CORP||INLAND POWER & LIGHT COMPANY
2017,BMW,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,0.226586103,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
2019,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,0.362537764,BONNEVILLE POWER ADMINISTRATION||PUD NO 1 OF CLARK COUNTY - (WA)
2014,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,0.096676737,PUD NO 1 OF CHELAN COUNTY
